URL,Title,Department,Field,Credit,Professor,Class Format,Period,Language
https://syllabus.sfc.keio.ac.jp/,INDEPENDENT RESEARCH,MEDIA AND GOVERNANCE,Independent Research (Doctoral Program),2 Unit,Yoshiaki Miyamoto,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_46564?locale=en,GOVERNANCE AND INSTITUTIONS(LOCAL GOVERNMENT) (GIGA/GG),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Advanced Subjects - Series of Policy Management,2 Unit,Shugo Shinohara,On campus,Tue 4th,English
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 2,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Atsushi Kanazawa,,,
https://syllabus.sfc.keio.ac.jp/,INDEPENDENT RESEARCH,MEDIA AND GOVERNANCE,Independent Research (Doctoral Program),2 Unit,Atsushi Kanazawa,,,
https://syllabus.sfc.keio.ac.jp/,MASTER SEMINAR,MEDIA AND GOVERNANCE,Special Courses,2 Unit,Atsushi Kanazawa,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_46566?locale=en,SEMINAR B (1),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Shugo Shinohara,On campus,Thu 2nd,English
https://syllabus.sfc.keio.ac.jp//courses/2021_46575?locale=en,ACADEMIC PROJECT Fusion and Expansion of Architecture,MEDIA AND GOVERNANCE,Project Courses,1 Unit,Hajime Ishikawa Hiroto Kobayashi Shigeru Ban Shohei Matsukawa Yasushi Ikeda,Online (Live),,Japanese
https://syllabus.sfc.keio.ac.jp//courses/2021_46567?locale=en,SEMINAR B (2),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Shugo Shinohara,On campus,Thu 4th,Japanese
https://syllabus.sfc.keio.ac.jp/,INDEPENDENT RESEARCH,MEDIA AND GOVERNANCE,Independent Research (Doctoral Program),2 Unit,Yuko Nakahama,,,
https://syllabus.sfc.keio.ac.jp/,PHYSICAL EDUCATION 2 TO 5 (水泳),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Wellness Subjects,1 Unit,Masahiro Sumi,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 2,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Yuko Nakahama,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 1,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Yuko Nakahama,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_31598?locale=en,INFORMATION SECURITY -THEORY AND PRACTICE-,MEDIA AND GOVERNANCE,Program Courses,2 Unit,Keiji Takeda,Online (Live),Thu 2nd,Japanese
https://syllabus.sfc.keio.ac.jp//courses/2021_31595?locale=en,SEMINAR A,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,4 Unit,Fumio Shimpo,Online (Live),"Tue 4th , Tue 5th",Japanese
https://syllabus.sfc.keio.ac.jp/,INDEPENDENT RESEARCH,MEDIA AND GOVERNANCE,Independent Research (Doctoral Program),2 Unit,Toshiyuki Masui,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 2,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Keiji Takeda,,,
https://syllabus.sfc.keio.ac.jp/,INDEPENDENT RESEARCH,MEDIA AND GOVERNANCE,Independent Research (Doctoral Program),2 Unit,Ken Jimbo,,,
https://syllabus.sfc.keio.ac.jp/,INDEPENDENT RESEARCH,MEDIA AND GOVERNANCE,Independent Research (Doctoral Program),2 Unit,Fumio Shimpo,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_31527?locale=en,SEMINAR B (2),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Sachiko Mori,On campus,Tue 4th,Japanese
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 1,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Keiji Takeda,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 1,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Motohiro Tsuchiya,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 1,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Fumio Shimpo,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 2,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Motohiro Tsuchiya,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_31601?locale=en,SEMINAR A,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,4 Unit,Yasushi Ikeda,Online (Live),"Tue 5th , Tue 6th",Japanese
https://syllabus.sfc.keio.ac.jp//courses/2021_31592?locale=en,PROGRAMMING METHODOLOGIES,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Interdisciplinary Subjects,2 Unit,Toshiyuki Masui,Online (Live),Thu 5th,Japanese
https://syllabus.sfc.keio.ac.jp/,INDEPENDENT RESEARCH,MEDIA AND GOVERNANCE,Independent Research (Doctoral Program),2 Unit,Yasushi Ikeda,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 1,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Toshiyuki Masui,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 2,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Toshiyuki Masui,,,
https://syllabus.sfc.keio.ac.jp/,INDEPENDENT RESEARCH,MEDIA AND GOVERNANCE,Independent Research (Doctoral Program),2 Unit,Sachiko Mori,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 2,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Fumio Shimpo,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_31668?locale=en,SEMINAR A,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,4 Unit,Toshiyuki Masui,Online (Live),"Mon 5th , Mon 6th",Japanese
https://syllabus.sfc.keio.ac.jp//courses/2021_31600?locale=en,DESIGN OF URBAN SPACE,MEDIA AND GOVERNANCE,Program Courses,2 Unit,Yuri Sekido,Online (On-demand),Fri 4th,Japanese
https://syllabus.sfc.keio.ac.jp//courses/2021_31593?locale=en,INFORMATION ETHICS,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Advanced Subjects - Series of Environment And Information Studies,2 Unit,Keiji Takeda,Online (Live),Thu 3rd,Japanese
https://syllabus.sfc.keio.ac.jp/,PHYSICAL EDUCATION 1 (15),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Wellness Subjects,1 Unit,,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 2,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Akihito Shimazu,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 1,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Akihito Shimazu,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 1,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Mika Kunieda,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_44928?locale=en,SEMINAR B (1),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Koji Matsui,Online (Live),Mon 3rd,Japanese
https://syllabus.sfc.keio.ac.jp//courses/2021_44836?locale=en,SEMINAR B (2),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Kaoru Yamamoto,On campus,Fri 3rd,Japanese
https://syllabus.sfc.keio.ac.jp/,PHYSICAL EDUCATION 1 (08),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Wellness Subjects,1 Unit,Yosuke Yanagisawa,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_44916?locale=en,SEMINAR B (2),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Patrick Savage E,On campus,Tue 3rd,English
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 2,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Nao Tokui,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 1,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Kaoru Yamamoto,,,
https://syllabus.sfc.keio.ac.jp/,,,,,,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_44935?locale=en,SEMINAR B (2),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Megumu Tsujimoto,On campus,Fri 5th,Japanese
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 2,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Kaoru Yamamoto,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 1,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Nao Tokui,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_44915?locale=en,SEMINAR A,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,4 Unit,Kazuto Ataka,Online (Live),"Thu 3rd , Thu 4th",Japanese
https://syllabus.sfc.keio.ac.jp//courses/2021_44929?locale=en,SEMINAR B (2),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Koji Matsui,Online (Live),Mon 2nd,Japanese
https://syllabus.sfc.keio.ac.jp/,,,,,,,,
https://syllabus.sfc.keio.ac.jp/,PHYSICAL EDUCATION 1 (12),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Wellness Subjects,1 Unit,,,,
https://syllabus.sfc.keio.ac.jp/,,,,,,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 1,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Megumu Tsujimoto,,,
https://syllabus.sfc.keio.ac.jp/,,,,,,,,
https://syllabus.sfc.keio.ac.jp/,,,,,,,,
https://syllabus.sfc.keio.ac.jp/,,,,,,,,
https://syllabus.sfc.keio.ac.jp/,,,,,,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_44934?locale=en,SEMINAR B (1),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Megumu Tsujimoto,Online (Live),Tue 5th,Japanese
https://syllabus.sfc.keio.ac.jp/,SEMINAR B (1),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Takeya Takagi,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_44841?locale=en,JAPANESE INTENSIVE - ELEMENTARY 2,MEDIA AND GOVERNANCE,Optional Subjects,4 Unit,Takahito Sato Hana Tomioka,Online (Live),"Tue 1st , Tue 2nd , Fri 1st , Fri 2nd",Japanese
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 1,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Fu Yen,,,
https://syllabus.sfc.keio.ac.jp/,GRADUATION PROJECT 2,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Fu Yen,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_44843?locale=en,SEMINAR B (2),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Takeya Takagi,Online (Live),Tue 4th,Japanese
https://syllabus.sfc.keio.ac.jp//courses/2021_44848?locale=en,SEMINAR B (1),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Shinya Fujii,On campus,Tue 3rd,Japanese
https://syllabus.sfc.keio.ac.jp//courses/2021_44849?locale=en,SEMINAR B (2),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Research Seminars,2 Unit,Shinya Fujii,On campus,Fri 3rd,Japanese
https://syllabus.sfc.keio.ac.jp//courses/2021_25863?locale=en,ASIA-OCEANIA REGIONAL STUDIES,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Advanced Subjects - Series of Policy Management,2 Unit,Haolan Zheng,Online (Live),Fri 3rd,Japanese
https://syllabus.sfc.keio.ac.jp/,PHYSICAL EDUCATION 1 (07),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Wellness Subjects,1 Unit,Keisuke Ohsaki,,,
https://syllabus.sfc.keio.ac.jp/,PHYSICAL EDUCATION 1 (17),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Wellness Subjects,1 Unit,Motohiro Iwatsuki,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_25853?locale=en,DIGITAL EARTH SCIENCE,MEDIA AND GOVERNANCE,Program Courses,2 Unit,Wanglin Yan,On campus,Thu 3rd,English
https://syllabus.sfc.keio.ac.jp/,PHYSICAL EDUCATION 1 (19),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Wellness Subjects,1 Unit,Motohiro Iwatsuki,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_25799?locale=en,FUNDAMENTALS OF INFORMATION TECHNOLOGY 1 (24),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Subjects of Fundamentals of Information Technology,2 Unit,Naohisa Hashimoto,On campus,"Fri 4th , Fri 5th",Japanese
https://syllabus.sfc.keio.ac.jp//courses/2021_25858?locale=en,INTRODUCTION TO STATISTICS [DS1],POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Subjects of Data Science - Data Science 1,2 Unit,Kunihiro Baba,Online (Live),Mon 1st,Japanese
https://syllabus.sfc.keio.ac.jp/,PHYSICAL EDUCATION 1 (20),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Wellness Subjects,1 Unit,Takashi Matsuhashi,,,
https://syllabus.sfc.keio.ac.jp/,PHYSICAL EDUCATION 1 (22),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Wellness Subjects,1 Unit,Takayuki Kizuka,,,
https://syllabus.sfc.keio.ac.jp/,PHYSICAL EDUCATION 1 (21),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Wellness Subjects,1 Unit,Kazunobu Fukuhara,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_25802?locale=en,FUNDAMENTALS OF INFORMATION TECHNOLOGY 1 (11),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Subjects of Fundamentals of Information Technology,2 Unit,Itsuki Sakitsu,On campus,"Wed 1st , Wed 2nd",Japanese
https://syllabus.sfc.keio.ac.jp//courses/2021_25796?locale=en,FUNDAMENTALS OF INFORMATION TECHNOLOGY 1 (01),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Subjects of Fundamentals of Information Technology,2 Unit,Jin Mitsugi,On campus,"Mon 1st , Mon 2nd",Japanese
https://syllabus.sfc.keio.ac.jp//courses/2021_25798?locale=en,FUNDAMENTALS OF INFORMATION TECHNOLOGY 1 (06),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Subjects of Fundamentals of Information Technology,2 Unit,Yuu Akiyama,On campus,"Tue 1st , Tue 2nd",Japanese
https://syllabus.sfc.keio.ac.jp/,PHYSICAL EDUCATION 1 (13),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Wellness Subjects,1 Unit,Izumi Ayase,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_25804?locale=en,"BASICS OF DATA SCIENCE (クラス14〜26）（再履修27,28,29)",POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Optional Subjects,2 Unit,Emi Miyachi,Online (Live),Tue 5th,Japanese
https://syllabus.sfc.keio.ac.jp/,PHYSICAL EDUCATION 1 (03),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Wellness Subjects,1 Unit,Aya Nishikimi,,,
https://syllabus.sfc.keio.ac.jp/,PHYSICAL EDUCATION 1 (01),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Wellness Subjects,1 Unit,Kazuyuki Noguchi,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_25860?locale=en,INTERNATIONAL RELATIONS,MEDIA AND GOVERNANCE,Program Courses - Heisetsu,2 Unit,Motohiro Tsuchiya,Online (On-demand),,Japanese
https://syllabus.sfc.keio.ac.jp/,PHYSICAL EDUCATION 1 (24),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Wellness Subjects,1 Unit,Takayuki Kizuka,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_25861?locale=en,THEORY OF LANGUAGES (GERMAN) /GERMAN CONTENTS,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Subjects of Language Communication,2 Unit,Andreas Meyer,Online (Live),Wed 4th,German
https://syllabus.sfc.keio.ac.jp/,PHYSICAL EDUCATION 1 (23),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Wellness Subjects,1 Unit,Kenji Sougumo,,,
https://syllabus.sfc.keio.ac.jp//courses/2021_25794?locale=en,FUNDAMENTALS OF INFORMATION TECHNOLOGY 1 (17),POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Fundamental Subjects - Subjects of Fundamentals of Information Technology,2 Unit,Hiroshi Yamamoto,On campus,"Thu 4th , Thu 5th",Japanese
https://syllabus.sfc.keio.ac.jp//courses/2021_25862?locale=en,INDONESIAN REGIONAL STUDIES,POLICY MANAGEMENT / ENVIRONMENT AND INFORMATION STUDIES,Advanced Subjects - Series of Policy Management,2 Unit,Kenji Ogasawara,Online (Live),Thu 4th,Japanese
